,home,away,date,match_type,venue,time_of_match,toss,winner,man_of_match,outcome
505,Kolkata Knight Riders,Delhi Daredevils,"7th May, 2015",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Piyush Chawla,1
506,Chennai Super Kings,Mumbai Indians,"8th May, 2015",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Chennai Super Kings,Mumbai Indians,Hardik Pandya,0
507,Kolkata Knight Riders,Kings XI Punjab,"9th May, 2015",league,"Eden Gardens, Kolkata",Day/Night Match,Kings XI Punjab,Kolkata Knight Riders,Andre Russell,1
508,Delhi Daredevils,Sunrisers Hyderabad,"9th May, 2015",league,"Shaheed Veer Narayan Sing International Stadium, Raipur",Day/Night Match,Sunrisers Hyderabad,Sunrisers Hyderabad,Moises Henriques,0
509,Mumbai Indians,Royal Challengers Bangalore,"10th May, 2015",league,"Wankhede Stadium, Mumbai",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,AB de Villiers,0
510,Chennai Super Kings,Rajasthan Royals,"10th May, 2015",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Ravindra Jadeja,1
511,Sunrisers Hyderabad,Kings XI Punjab,"11th May, 2015",league,"Rajiv Gandhi International Stadium, Hyderabad",Day Match,Sunrisers Hyderabad,Sunrisers Hyderabad,David Warner,1
512,Delhi Daredevils,Chennai Super Kings,"12th May, 2015",league,"Shaheed Veer Narayan Sing International Stadium, Raipur",Day Match,Chennai Super Kings,Delhi Daredevils,Zaheer Khan,1
513,Kings XI Punjab,Royal Challengers Bangalore,"13th May, 2015",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Royal Challengers Bangalore,Kings XI Punjab,Axar Patel,1
514,Mumbai Indians,Kolkata Knight Riders,"14th May, 2015",league,"Wankhede Stadium, Mumbai",Day/Night Match,Kolkata Knight Riders,Mumbai Indians,Hardik Pandya,1
515,Sunrisers Hyderabad,Royal Challengers Bangalore,"15th May, 2015",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Sunrisers Hyderabad,Royal Challengers Bangalore,Virat Kohli,0
516,Kings XI Punjab,Chennai Super Kings,"16th May, 2015",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Kings XI Punjab,Chennai Super Kings,Pawan Negi,0
517,Rajasthan Royals,Kolkata Knight Riders,"16th May, 2015",league,"Brabourne Stadium, Mumbai",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Shane Watson,1
518,Royal Challengers Bangalore,Delhi Daredevils,"17th May, 2015",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Royal Challengers Bangalore,No result,No Award,0
519,Sunrisers Hyderabad,Mumbai Indians,"17th May, 2015",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Sunrisers Hyderabad,Mumbai Indians,Mitchell McClenaghan,0
520,Chennai Super Kings,Mumbai Indians,"19th May, 2015",knockout,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Kieron Pollard,0
521,Royal Challengers Bangalore,Rajasthan Royals,"20th May, 2015",knockout,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,AB de Villiers,1
522,Chennai Super Kings,Royal Challengers Bangalore,"22nd May, 2015",knockout,"JSCA International Stadium Complex, Ranchi",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Ashish Nehra,1
523,Mumbai Indians,Chennai Super Kings,"24th May, 2015",knockout,"Eden Gardens, Kolkata",Day/Night Match,Chennai Super Kings,Mumbai Indians,Rohit Sharma,1
524,Mumbai Indians,Rising Pune Supergiant,"9th April, 2016",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Rising Pune Supergiant,Ajinkya Rahane,0
525,Kolkata Knight Riders,Delhi Daredevils,"10th April, 2016",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Andre Russell,1
