,home,away,date,match_type,venue,time_of_match,toss,winner,man_of_match,outcome
0,Royal Challengers Bangalore,Kolkata Knight Riders,"18th April, 2008",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Royal Challengers Bangalore,Kolkata Knight Riders,Brendon McCullum,0
1,Kings XI Punjab,Chennai Super Kings,"19th April, 2008",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Michael Hussey,0
2,Delhi Daredevils,Rajasthan Royals,"19th April, 2008",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Rajasthan Royals,Delhi Daredevils,Farveez Maharoof,1
3,Kolkata Knight Riders,Deccan Chargers,"20th April, 2008",league,"Eden Gardens, Kolkata",Day/Night Match,Deccan Chargers,Kolkata Knight Riders,David Hussey,1
4,Mumbai Indians,Royal Challengers Bangalore,"20th April, 2008",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Royal Challengers Bangalore,Mark Boucher,0
5,Rajasthan Royals,Kings XI Punjab,"21st April, 2008",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Kings XI Punjab,Rajasthan Royals,Shane Watson,1
6,Deccan Chargers,Delhi Daredevils,"22nd April, 2008",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Deccan Chargers,Delhi Daredevils,Virender Sehwag,0
7,Chennai Super Kings,Mumbai Indians,"23rd April, 2008",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Mumbai Indians,Chennai Super Kings,Matthew Hayden,1
8,Deccan Chargers,Rajasthan Royals,"24th April, 2008",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Yusuf Pathan,0
9,Kings XI Punjab,Mumbai Indians,"25th April, 2008",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Mumbai Indians,Kings XI Punjab,Kumar Sangakkara,1
10,Chennai Super Kings,Kolkata Knight Riders,"26th April, 2008",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Kolkata Knight Riders,Chennai Super Kings,Jacob Oram,1
11,Royal Challengers Bangalore,Rajasthan Royals,"26th April, 2008",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Shane Watson,0
12,Kings XI Punjab,Delhi Daredevils,"27th April, 2008",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Delhi Daredevils,Kings XI Punjab,Simon Katich,1
13,Mumbai Indians,Deccan Chargers,"27th April, 2008",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Deccan Chargers,Deccan Chargers,Adam Gilchrist,0
14,Royal Challengers Bangalore,Chennai Super Kings,"28th April, 2008",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Chennai Super Kings,Chennai Super Kings,M S Dhoni,0
15,Kolkata Knight Riders,Mumbai Indians,"29th April, 2008",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Mumbai Indians,Sanath Jayasuriya,0
16,Delhi Daredevils,Royal Challengers Bangalore,"30th April, 2008",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Royal Challengers Bangalore,Delhi Daredevils,Glenn McGrath,1
17,Rajasthan Royals,Kolkata Knight Riders,"1st May, 2008",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Swapnil Asnodkar,1
18,Deccan Chargers,Kings XI Punjab,"1st May, 2008",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Kings XI Punjab,Kings XI Punjab,Shaun Marsh,0
19,Chennai Super Kings,Delhi Daredevils,"2nd May, 2008",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Chennai Super Kings,Delhi Daredevils,Virender Sehwag,0
20,Royal Challengers Bangalore,Deccan Chargers,"3rd May, 2008",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Deccan Chargers,Royal Challengers Bangalore,Praveen Kumar,1
21,Kings XI Punjab,Kolkata Knight Riders,"3rd May, 2008",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Kings XI Punjab,Kings XI Punjab,Irfan Pathan,1
22,Mumbai Indians,Delhi Daredevils,"4th May, 2008",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Delhi Daredevils,Mumbai Indians,Shaun Pollock,1
23,Rajasthan Royals,Chennai Super Kings,"4th May, 2008",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Chennai Super Kings,Rajasthan Royals,Sohail Tanvir,1
24,Royal Challengers Bangalore,Kings XI Punjab,"5th May, 2008",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Kings XI Punjab,Kings XI Punjab,Sreesanth,0
25,Chennai Super Kings,Deccan Chargers,"6th May, 2008",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Deccan Chargers,Deccan Chargers,Adam Gilchrist,0
26,Mumbai Indians,Rajasthan Royals,"7th May, 2008",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Ashish Nehra,1
27,Delhi Daredevils,Chennai Super Kings,"8th May, 2008",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Chennai Super Kings,Chennai Super Kings,M S Dhoni,0
28,Kolkata Knight Riders,Royal Challengers Bangalore,"8th May, 2008",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Sourav Ganguly,1
29,Rajasthan Royals,Deccan Chargers,"9th May, 2008",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Yusuf Pathan,1
30,Chennai Super Kings,Kings XI Punjab,"10th May, 2008",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Kings XI Punjab,Chennai Super Kings,Lakshmipathy Balaji,1
31,Deccan Chargers,Kolkata Knight Riders,"11th May, 2008",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Sourav Ganguly,0
32,Rajasthan Royals,Delhi Daredevils,"11th May, 2008",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Shane Watson,1
33,Kings XI Punjab,Royal Challengers Bangalore,"12th May, 2008",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Royal Challengers Bangalore,Kings XI Punjab,Shaun Marsh,1
34,Kolkata Knight Riders,Delhi Daredevils,"13th May, 2008",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Shoaib Akhtar,1
35,Mumbai Indians,Chennai Super Kings,"14th May, 2008",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Sanath Jayasuriya,1
36,Delhi Daredevils,Deccan Chargers,"15th May, 2008",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Deccan Chargers,Delhi Daredevils,Amit Mishra,1
37,Mumbai Indians,Kolkata Knight Riders,"16th May, 2008",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Shaun Pollock,1
38,Rajasthan Royals,Royal Challengers Bangalore,"17th May, 2008",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Royal Challengers Bangalore,Rajasthan Royals,Graeme Smith,1
39,Delhi Daredevils,Kings XI Punjab,"17th May, 2008",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Daredevils,Kings XI Punjab,Mahela Jayawardene,0
40,Kolkata Knight Riders,Chennai Super Kings,"18th May, 2008",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Chennai Super Kings,Makhaya Ntini,0
41,Deccan Chargers,Mumbai Indians,"18th May, 2008",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Deccan Chargers,Mumbai Indians,Dwayne Bravo,0
42,Royal Challengers Bangalore,Delhi Daredevils,"19th May, 2008",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Delhi Daredevils,Delhi Daredevils,Shreevats Goswami,0
43,Kolkata Knight Riders,Rajasthan Royals,"20th May, 2008",league,"Eden Gardens, Kolkata",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Yusuf Pathan,0
44,Kings XI Punjab,Mumbai Indians,"21st May, 2008",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Kings XI Punjab,Shaun Marsh,1
45,Chennai Super Kings,Royal Challengers Bangalore,"21st May, 2008",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Anil Kumble,0
46,Delhi Daredevils,Kolkata Knight Riders,"22nd May, 2008",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,No Toss,No result,No Award,0
47,Kings XI Punjab,Deccan Chargers,"23rd May, 2008",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Kings XI Punjab,Kings XI Punjab,Shaun Marsh,1
48,Chennai Super Kings,Rajasthan Royals,"24th May, 2008",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Albie Morkel,0
49,Delhi Daredevils,Mumbai Indians,"24th May, 2008",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Daredevils,Delhi Daredevils,Dinesh Karthik,1
50,Deccan Chargers,Royal Challengers Bangalore,"25th May, 2008",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Deccan Chargers,Royal Challengers Bangalore,Vinay Kumar,0
51,Kolkata Knight Riders,Kings XI Punjab,"25th May, 2008",league,"Eden Gardens, Kolkata",Day/Night Match,Kings XI Punjab,Kolkata Knight Riders,Umar Gul,1
52,Rajasthan Royals,Mumbai Indians,"26th May, 2008",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Sohail Tanvir,1
53,Deccan Chargers,Chennai Super Kings,"27th May, 2008",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Deccan Chargers,Chennai Super Kings,Suresh Raina,0
54,Royal Challengers Bangalore,Mumbai Indians,"28th May, 2008",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Mumbai Indians,Mumbai Indians,Dilhara Fernando,0
55,Kings XI Punjab,Rajasthan Royals,"28th May, 2008",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Rajasthan Royals,Kings XI Punjab,Shaun Marsh,1
56,Delhi Daredevils,Rajasthan Royals,"30th May, 2008",knockout,"Wankhede Stadium, Mumbai",Day/Night Match,Delhi Daredevils,Rajasthan Royals,Shane Watson,0
57,Kings XI Punjab,Chennai Super Kings,"31st May, 2008",knockout,"Wankhede Stadium, Mumbai",Day/Night Match,Kings XI Punjab,Chennai Super Kings,Makhaya Ntini,0
58,Chennai Super Kings,Rajasthan Royals,"1st June, 2008",knockout,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Yusuf Pathan,0
59,Chennai Super Kings,Mumbai Indians,"18th April, 2009",league,"Newlands, Cape Town",Day Match,Chennai Super Kings,Mumbai Indians,Sachin Tendulkar,0
60,Royal Challengers Bangalore,Rajasthan Royals,"18th April, 2009",league,"Newlands, Cape Town",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Rahul Dravid,1
61,Delhi Daredevils,Kings XI Punjab,"19th April, 2009",league,"Newlands, Cape Town",Day Match,Delhi Daredevils,Delhi Daredevils,Daniel Vettori,1
62,Deccan Chargers,Kolkata Knight Riders,"19th April, 2009",league,"Newlands, Cape Town",Day/Night Match,Kolkata Knight Riders,Deccan Chargers,R P Singh,1
63,Royal Challengers Bangalore,Chennai Super Kings,"20th April, 2009",league,"St George's Park, Port Elizabeth",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Muttiah Muralitharan,0
64,Kings XI Punjab,Kolkata Knight Riders,"21st April, 2009",league,"Kingsmead, Durban",Day Match,Kolkata Knight Riders,Kolkata Knight Riders,Chris Gayle,0
65,Mumbai Indians,Rajasthan Royals,"21st April, 2009",league,"Kingsmead, Durban",Day/Night Match,No Toss,No result,No Award,0
66,Royal Challengers Bangalore,Deccan Chargers,"22nd April, 2009",league,"Newlands, Cape Town",Day/Night Match,Deccan Chargers,Deccan Chargers,Adam Gilchrist,0
67,Chennai Super Kings,Delhi Daredevils,"23rd April, 2009",league,"Kingsmead, Durban",Day Match,Delhi Daredevils,Delhi Daredevils,AB de Villiers,0
68,Kolkata Knight Riders,Rajasthan Royals,"23rd April, 2009",league,"Newlands, Cape Town",Day/Night Match,Kolkata Knight Riders,Rajasthan Royals,Yusuf Pathan,0
69,Royal Challengers Bangalore,Kings XI Punjab,"24th April, 2009",league,"Kingsmead, Durban",Day/Night Match,Royal Challengers Bangalore,Kings XI Punjab,Ravi Bopara,0
70,Deccan Chargers,Mumbai Indians,"25th April, 2009",league,"Kingsmead, Durban",Day Match,Deccan Chargers,Deccan Chargers,Pragyan Ojha,1
71,Chennai Super Kings,Kolkata Knight Riders,"25th April, 2009",league,"Newlands, Cape Town",Day/Night Match,No Toss,No result,No Award,0
72,Royal Challengers Bangalore,Delhi Daredevils,"26th April, 2009",league,"St George's Park, Port Elizabeth",Day Match,Royal Challengers Bangalore,Delhi Daredevils,Tillakaratne Dilshan,0
73,Kings XI Punjab,Rajasthan Royals,"26th April, 2009",league,"Newlands, Cape Town",Day/Night Match,Kings XI Punjab,Kings XI Punjab,Kumar Sangakkara,1
74,Chennai Super Kings,Deccan Chargers,"27th April, 2009",league,"Kingsmead, Durban",Day Match,Deccan Chargers,Deccan Chargers,Herschelle Gibbs,0
75,Kolkata Knight Riders,Mumbai Indians,"27th April, 2009",league,"St George's Park, Port Elizabeth",Day/Night Match,Mumbai Indians,Mumbai Indians,Sachin Tendulkar,0
76,Delhi Daredevils,Rajasthan Royals,"28th April, 2009",league,"SuperSport Park, Centurion",Day/Night Match,Delhi Daredevils,Rajasthan Royals,Yusuf Pathan,0
77,Royal Challengers Bangalore,Kolkata Knight Riders,"29th April, 2009",league,"Kingsmead, Durban",Day Match,Kolkata Knight Riders,Royal Challengers Bangalore,Mark Boucher,1
78,Kings XI Punjab,Mumbai Indians,"29th April, 2009",league,"Kingsmead, Durban",Day/Night Match,Kings XI Punjab,Kings XI Punjab,Kumar Sangakkara,1
79,Deccan Chargers,Delhi Daredevils,"30th April, 2009",league,"SuperSport Park, Centurion",Day Match,Delhi Daredevils,Delhi Daredevils,Dirk Nannes,0
80,Chennai Super Kings,Rajasthan Royals,"30th April, 2009",league,"Buffalo Park, East London",Day/Night Match,Rajasthan Royals,Chennai Super Kings,Suresh Raina,1
81,Kolkata Knight Riders,Mumbai Indians,"1st May, 2009",league,"Buffalo Park, East London",Day Match,Mumbai Indians,Mumbai Indians,Jean-Paul Duminy,0
82,Royal Challengers Bangalore,Kings XI Punjab,"1st May, 2009",league,"Kingsmead, Durban",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Yuvraj Singh,1
83,Deccan Chargers,Rajasthan Royals,"2nd May, 2009",league,"St George's Park, Port Elizabeth",Day Match,Deccan Chargers,Rajasthan Royals,Yusuf Pathan,0
84,Chennai Super Kings,Delhi Daredevils,"2nd May, 2009",league,"Wanderers Stadium, Johannesburg",Day/Night Match,Delhi Daredevils,Chennai Super Kings,Shadab Jakati,1
85,Kings XI Punjab,Kolkata Knight Riders,"3rd May, 2009",league,"St George's Park, Port Elizabeth",Day Match,Kolkata Knight Riders,Kings XI Punjab,Mahela Jayawardene,1
86,Royal Challengers Bangalore,Mumbai Indians,"3rd May, 2009",league,"Wanderers Stadium, Johannesburg",Day/Night Match,Mumbai Indians,Royal Challengers Bangalore,Jacques Kallis,1
87,Chennai Super Kings,Deccan Chargers,"4th May, 2009",league,"Buffalo Park, East London",Day/Night Match,Chennai Super Kings,Chennai Super Kings,M S Dhoni,1
88,Kings XI Punjab,Rajasthan Royals,"5th May, 2009",league,"Kingsmead, Durban",Day Match,Kings XI Punjab,Rajasthan Royals,Graeme Smith,0
89,Delhi Daredevils,Kolkata Knight Riders,"5th May, 2009",league,"Kingsmead, Durban",Day/Night Match,Kolkata Knight Riders,Delhi Daredevils,Gautam Gambhir,1
90,Deccan Chargers,Mumbai Indians,"6th May, 2009",league,"SuperSport Park, Centurion",Day/Night Match,Deccan Chargers,Deccan Chargers,Rohit Sharma,1
91,Royal Challengers Bangalore,Rajasthan Royals,"7th May, 2009",league,"SuperSport Park, Centurion",Day Match,Rajasthan Royals,Rajasthan Royals,Amit Singh,0
92,Chennai Super Kings,Kings XI Punjab,"7th May, 2009",league,"SuperSport Park, Centurion",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Matthew Hayden,1
93,Delhi Daredevils,Mumbai Indians,"8th May, 2009",league,"Buffalo Park, East London",Day/Night Match,Mumbai Indians,Delhi Daredevils,Ashish Nehra,1
94,Deccan Chargers,Kings XI Punjab,"9th May, 2009",league,"Diamond Oval, Kimberley",Day Match,Kings XI Punjab,Kings XI Punjab,Mahela Jayawardene,0
95,Chennai Super Kings,Rajasthan Royals,"9th May, 2009",league,"Diamond Oval, Kimberley",Day/Night Match,Rajasthan Royals,Chennai Super Kings,Subramaniam Badrinath,1
96,Royal Challengers Bangalore,Mumbai Indians,"10th May, 2009",league,"St George's Park, Port Elizabeth",Day Match,Mumbai Indians,Mumbai Indians,Jean-Paul Duminy,0
97,Delhi Daredevils,Kolkata Knight Riders,"10th May, 2009",league,"Wanderers Stadium, Johannesburg",Day/Night Match,Delhi Daredevils,Delhi Daredevils,Amit Mishra,1
98,Deccan Chargers,Rajasthan Royals,"11th May, 2009",league,"Diamond Oval, Kimberley",Day/Night Match,Deccan Chargers,Deccan Chargers,Dwayne Smith,1
99,Royal Challengers Bangalore,Kolkata Knight Riders,"12th May, 2009",league,"SuperSport Park, Centurion",Day Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Ross Taylor,1
100,Kings XI Punjab,Mumbai Indians,"12th May, 2009",league,"SuperSport Park, Centurion",Day/Night Match,Kings XI Punjab,Mumbai Indians,Harbhajan Singh,0
101,Deccan Chargers,Delhi Daredevils,"13th May, 2009",league,"Kingsmead, Durban",Day/Night Match,Deccan Chargers,Delhi Daredevils,Rajat Bhatia,0
102,Royal Challengers Bangalore,Chennai Super Kings,"14th May, 2009",league,"Kingsmead, Durban",Day Match,Chennai Super Kings,Royal Challengers Bangalore,Ross Taylor,1
103,Mumbai Indians,Rajasthan Royals,"14th May, 2009",league,"Kingsmead, Durban",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Shane Warne,0
104,Delhi Daredevils,Kings XI Punjab,"15th May, 2009",league,"Mangaung Oval, Bloemfontein",Day/Night Match,Kings XI Punjab,Kings XI Punjab,Brett Lee,0
105,Chennai Super Kings,Mumbai Indians,"16th May, 2009",league,"St George's Park, Port Elizabeth",Day Match,Mumbai Indians,Chennai Super Kings,Matthew Hayden,1
106,Deccan Chargers,Kolkata Knight Riders,"16th May, 2009",league,"Wanderers Stadium, Johannesburg",Day/Night Match,Deccan Chargers,Deccan Chargers,Rohit Sharma,1
107,Deccan Chargers,Kings XI Punjab,"17th May, 2009",league,"Wanderers Stadium, Johannesburg",Day Match,Deccan Chargers,Kings XI Punjab,Yuvraj Singh,0
108,Delhi Daredevils,Rajasthan Royals,"17th May, 2009",league,"Mangaung Oval, Bloemfontein",Day/Night Match,Delhi Daredevils,Delhi Daredevils,AB de Villiers,1
109,Chennai Super Kings,Kolkata Knight Riders,"18th May, 2009",league,"SuperSport Park, Centurion",Day/Night Match,Chennai Super Kings,Kolkata Knight Riders,Bradley Hodge,0
110,Royal Challengers Bangalore,Delhi Daredevils,"19th May, 2009",league,"Wanderers Stadium, Johannesburg",Day/Night Match,Delhi Daredevils,Royal Challengers Bangalore,Jacques Kallis,1
111,Kolkata Knight Riders,Rajasthan Royals,"20th May, 2009",league,"Kingsmead, Durban",Day Match,Kolkata Knight Riders,Kolkata Knight Riders,Laxmi Shukla,1
112,Chennai Super Kings,Kings XI Punjab,"20th May, 2009",league,"Kingsmead, Durban",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Muttiah Muralitharan,1
113,Delhi Daredevils,Mumbai Indians,"21st May, 2009",league,"SuperSport Park, Centurion",Day Match,Delhi Daredevils,Delhi Daredevils,Virender Sehwag,1
114,Royal Challengers Bangalore,Deccan Chargers,"21st May, 2009",league,"SuperSport Park, Centurion",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Manish Pandey,1
115,Delhi Daredevils,Deccan Chargers,"22nd May, 2009",knockout,"SuperSport Park, Centurion",Day/Night Match,Deccan Chargers,Deccan Chargers,Adam Gilchrist,0
116,Royal Challengers Bangalore,Chennai Super Kings,"23rd May, 2009",knockout,"Wanderers Stadium, Johannesburg",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Manish Pandey,1
117,Royal Challengers Bangalore,Deccan Chargers,"24th May, 2009",knockout,"Wanderers Stadium, Johannesburg",Day/Night Match,Royal Challengers Bangalore,Deccan Chargers,Anil Kumble,0
118,Deccan Chargers,Kolkata Knight Riders,"12th March, 2010",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Deccan Chargers,Kolkata Knight Riders,Angelo Mathews,0
119,Mumbai Indians,Rajasthan Royals,"13th March, 2010",league,"Brabourne Stadium, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Yusuf Pathan,1
120,Kings XI Punjab,Delhi Daredevils,"13th March, 2010",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Delhi Daredevils,Delhi Daredevils,Gautam Gambhir,0
121,Kolkata Knight Riders,Royal Challengers Bangalore,"14th March, 2010",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Manoj Tiwary,1
122,Chennai Super Kings,Deccan Chargers,"14th March, 2010",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Deccan Chargers,Deccan Chargers,Chaminda Vaas,0
123,Rajasthan Royals,Delhi Daredevils,"15th March, 2010",league,"Barabati Stadium, Cuttack",Day/Night Match,Delhi Daredevils,Delhi Daredevils,Virender Sehwag,0
124,Royal Challengers Bangalore,Kings XI Punjab,"16th March, 2010",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Kings XI Punjab,Royal Challengers Bangalore,Jacques Kallis,1
125,Chennai Super Kings,Kolkata Knight Riders,"16th March, 2010",league,"Eden Gardens, Kolkata",Day/Night Match,Chennai Super Kings,Chennai Super Kings,M S Dhoni,1
126,Delhi Daredevils,Mumbai Indians,"17th March, 2010",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Daredevils,Mumbai Indians,Sachin Tendulkar,0
127,Royal Challengers Bangalore,Rajasthan Royals,"18th March, 2010",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Jacques Kallis,1
128,Delhi Daredevils,Chennai Super Kings,"19th March, 2010",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Daredevils,Chennai Super Kings,Matthew Hayden,0
129,Deccan Chargers,Kings XI Punjab,"19th March, 2010",league,"Barabati Stadium, Cuttack",Day/Night Match,Kings XI Punjab,Deccan Chargers,Andrew Symonds,1
130,Rajasthan Royals,Kolkata Knight Riders,"20th March, 2010",league,"Narendra Modi Stadium, Ahmedabad",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Abhishek Jhunjhunwala,1
131,Mumbai Indians,Royal Challengers Bangalore,"20th March, 2010",league,"Barabati Stadium, Cuttack",Day/Night Match,Mumbai Indians,Royal Challengers Bangalore,Jacques Kallis,0
132,Deccan Chargers,Delhi Daredevils,"21st March, 2010",league,"Barabati Stadium, Cuttack",Day/Night Match,Deccan Chargers,Deccan Chargers,Andrew Symonds,1
133,Chennai Super Kings,Kings XI Punjab,"21st March, 2010",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Chennai Super Kings,Kings XI Punjab,Rusty Theron,0
134,Mumbai Indians,Kolkata Knight Riders,"22nd March, 2010",league,"Brabourne Stadium, Mumbai",Day/Night Match,Kolkata Knight Riders,Mumbai Indians,Sachin Tendulkar,1
135,Royal Challengers Bangalore,Chennai Super Kings,"23rd March, 2010",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Chennai Super Kings,Royal Challengers Bangalore,Robin Uthappa,1
136,Kings XI Punjab,Rajasthan Royals,"24th March, 2010",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Kings XI Punjab,Rajasthan Royals,Adam Voges,0
137,Royal Challengers Bangalore,Delhi Daredevils,"25th March, 2010",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Royal Challengers Bangalore,Delhi Daredevils,Kedar Jadhav,0
138,Mumbai Indians,Chennai Super Kings,"25th March, 2010",league,"Brabourne Stadium, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Sachin Tendulkar,1
139,Rajasthan Royals,Deccan Chargers,"26th March, 2010",league,"Narendra Modi Stadium, Ahmedabad",Day/Night Match,Deccan Chargers,Rajasthan Royals,Yusuf Pathan,1
140,Kings XI Punjab,Kolkata Knight Riders,"27th March, 2010",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Manoj Tiwary,0
141,Rajasthan Royals,Chennai Super Kings,"28th March, 2010",league,"Narendra Modi Stadium, Ahmedabad",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Naman Ojha,1
142,Deccan Chargers,Mumbai Indians,"28th March, 2010",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Deccan Chargers,Mumbai Indians,Harbhajan Singh,0
143,Delhi Daredevils,Kolkata Knight Riders,"29th March, 2010",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Daredevils,Delhi Daredevils,David Warner,1
144,Mumbai Indians,Kings XI Punjab,"30th March, 2010",league,"Brabourne Stadium, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Lasith Malinga,1
145,Chennai Super Kings,Royal Challengers Bangalore,"31st March, 2010",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Royal Challengers Bangalore,Chennai Super Kings,Murali Vijay,1
146,Delhi Daredevils,Rajasthan Royals,"31st March, 2010",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Daredevils,Delhi Daredevils,Dinesh Karthik,1
147,Kolkata Knight Riders,Deccan Chargers,"1st April, 2010",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Sourav Ganguly,1
148,Kings XI Punjab,Royal Challengers Bangalore,"2nd April, 2010",league,"Barabati Stadium, Cuttack",Day/Night Match,Kings XI Punjab,Royal Challengers Bangalore,Kevin Pietersen,0
149,Chennai Super Kings,Rajasthan Royals,"3rd April, 2010",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Murali Vijay,1
150,Mumbai Indians,Deccan Chargers,"3rd April, 2010",league,"Brabourne Stadium, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Ambati Rayudu,1
151,Kolkata Knight Riders,Kings XI Punjab,"4th April, 2010",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Kings XI Punjab,Mahela Jayawardene,0
